"TIME","GEO","UNIT","NA_ITEM","Value"
"2007","European Union (28 countries)","Current prices, euro per capita","Gross domestic product at market prices","26,000"
"2007","European Union (28 countries)","Current prices, euro per capita","Final consumption expenditure","19,800"
"2007","European Union (28 countries)","Current prices, euro per capita","Final consumption expenditure of general government","5,100"
"2007","European Union (28 countries)","Current prices, euro per capita","Individual consumption expenditure of general government","3,100"
"2007","European Union (28 countries)","Current prices, euro per capita","Collective consumption expenditure of general government","2,000"
"2007","European Union (28 countries)","Current prices, units of national currency per capita","Gross domestic product at market prices","26,000"
"2007","European Union (28 countries)","Current prices, units of national currency per capita","Final consumption expenditure","19,800"
"2007","European Union (28 countries)","Current prices, units of national currency per capita","Final consumption expenditure of general government","5,100"
"2007","European Union (28 countries)","Current prices, units of national currency per capita","Individual consumption expenditure of general government","3,100"
"2007","European Union (28 countries)","Current prices, units of national currency per capita","Collective consumption expenditure of general government","2,000"
"2007","European Union (28 countries)","Current prices, PPS per capita","Gross domestic product at market prices","26,000"
"2007","European Union (28 countries)","Current prices, PPS per capita","Final consumption expenditure","19,800"
"2007","European Union (28 countries)","Current prices, PPS per capita","Final consumption expenditure of general government","5,100"
"2007","European Union (28 countries)","Current prices, PPS per capita","Individual consumption expenditure of general government","3,100"
"2007","European Union (28 countries)","Current prices, PPS per capita","Collective consumption expenditure of general government","2,000"
"2007","European Union (28 countries)","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,200"
"2007","European Union (28 countries)","Chain linked volumes (2010), euro per capita","Final consumption expenditure","20,000"
"2007","European Union (28 countries)","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","5,200"
"2007","European Union (28 countries)","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","3,200"
"2007","European Union (28 countries)","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","2,000"
"2007","European Union (28 countries)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","103.0"
"2007","European Union (28 countries)","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","99.8"
"2007","European Union (28 countries)","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","95.8"
"2007","European Union (28 countries)","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","94.9"
"2007","European Union (28 countries)","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","97.1"
"2007","European Union (15 countries)","Current prices, euro per capita","Gross domestic product at market prices","30,700"
"2007","European Union (15 countries)","Current prices, euro per capita","Final consumption expenditure","23,400"
"2007","European Union (15 countries)","Current prices, euro per capita","Final consumption expenditure of general government","6,100"
"2007","European Union (15 countries)","Current prices, euro per capita","Individual consumption expenditure of general government","3,800"
"2007","European Union (15 countries)","Current prices, euro per capita","Collective consumption expenditure of general government","2,300"
"2007","European Union (15 countries)","Current prices, units of national currency per capita","Gross domestic product at market prices","30,700"
"2007","European Union (15 countries)","Current prices, units of national currency per capita","Final consumption expenditure","23,400"
"2007","European Union (15 countries)","Current prices, units of national currency per capita","Final consumption expenditure of general government","6,100"
"2007","European Union (15 countries)","Current prices, units of national currency per capita","Individual consumption expenditure of general government","3,800"
"2007","European Union (15 countries)","Current prices, units of national currency per capita","Collective consumption expenditure of general government","2,300"
"2007","European Union (15 countries)","Current prices, PPS per capita","Gross domestic product at market prices","29,100"
"2007","European Union (15 countries)","Current prices, PPS per capita","Final consumption expenditure","22,200"
"2007","European Union (15 countries)","Current prices, PPS per capita","Final consumption expenditure of general government","5,700"
"2007","European Union (15 countries)","Current prices, PPS per capita","Individual consumption expenditure of general government","3,600"
"2007","European Union (15 countries)","Current prices, PPS per capita","Collective consumption expenditure of general government","2,200"
"2007","European Union (15 countries)","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,800"
"2007","European Union (15 countries)","Chain linked volumes (2010), euro per capita","Final consumption expenditure","23,500"
"2007","European Union (15 countries)","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","6,200"
"2007","European Union (15 countries)","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","3,900"
"2007","European Union (15 countries)","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","2,300"
"2007","European Union (15 countries)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","103.7"
"2007","European Union (15 countries)","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","100.4"
"2007","European Union (15 countries)","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","96.2"
"2007","European Union (15 countries)","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","95.3"
"2007","European Union (15 countries)","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","97.7"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, euro per capita","Gross domestic product at market prices","29,100"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, euro per capita","Final consumption expenditure","21,700"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, euro per capita","Final consumption expenditure of general government","5,700"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, euro per capita","Individual consumption expenditure of general government","3,500"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, euro per capita","Collective consumption expenditure of general government","2,200"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, units of national currency per capita","Gross domestic product at market prices","29,100"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, units of national currency per capita","Final consumption expenditure","21,700"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, units of national currency per capita","Final consumption expenditure of general government","5,700"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, units of national currency per capita","Individual consumption expenditure of general government","3,500"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, units of national currency per capita","Collective consumption expenditure of general government","2,200"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, PPS per capita","Gross domestic product at market prices","29,000"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, PPS per capita","Final consumption expenditure","21,600"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, PPS per capita","Final consumption expenditure of general government","5,600"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, PPS per capita","Individual consumption expenditure of general government","3,500"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, PPS per capita","Collective consumption expenditure of general government","2,200"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,200"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), euro per capita","Final consumption expenditure","22,600"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","6,000"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","3,700"
