"Povpreène meseène plaèe po: OBÈINE, LETO , KAZALNIK"

" ";" ";"Povpreèna meseèna bruto plaèa"
"SLOVENIJA"
" ";"2011";1524.65
" ";"2012";1525.47
" ";"2013";1523.18
" ";"2014";1540.25
" ";"2015";1555.89
"Ajdovšèina"
" ";"2011";1420.68
" ";"2012";1372.73
" ";"2013";1369.08
" ";"2014";1381.31
" ";"2015";1396.38
"Ankaran"
" ";"2011";-
" ";"2012";-
" ";"2013";-
" ";"2014";-
" ";"2015";1451.99
"Apaèe"
" ";"2011";1288.35
" ";"2012";1256.42
" ";"2013";1281.09
" ";"2014";1264.54
" ";"2015";1294.76
"Beltinci"
" ";"2011";1182.35
" ";"2012";1191.19
" ";"2013";1187.93
" ";"2014";1214.93
" ";"2015";1247.09
"Benedikt"
" ";"2011";1368.42
" ";"2012";1362.17
" ";"2013";1332.31
" ";"2014";1365.07
" ";"2015";1345.98
"Bistrica ob Sotli"
" ";"2011";1307.97
" ";"2012";1327.07
" ";"2013";1351.43
" ";"2014";1343.62
" ";"2015";1358.24
"Bled"
" ";"2011";1459.37
" ";"2012";1455.93
" ";"2013";1461.22
" ";"2014";1481.48
" ";"2015";1429.83
"Bloke"
" ";"2011";1077.84
" ";"2012";1126.41
" ";"2013";1169.89
" ";"2014";1130.82
" ";"2015";1144.14
"Bohinj"
" ";"2011";1148.45
" ";"2012";1148.95
" ";"2013";1170.04
" ";"2014";1179.24
" ";"2015";1169.12
"Borovnica"
" ";"2011";1251.98
" ";"2012";1342.44
" ";"2013";1351.12
" ";"2014";1310.02
" ";"2015";1363.40
"Bovec"
" ";"2011";1303.83
" ";"2012";1309.43
" ";"2013";1403.67
" ";"2014";1394.93
" ";"2015";1400.46
"Braslovèe"
" ";"2011";1333.11
" ";"2012";1305.29
" ";"2013";1293.87
" ";"2014";1331.74
" ";"2015";1355.36
"Brda"
" ";"2011";1436.89
" ";"2012";1369.79
" ";"2013";1405.07
" ";"2014";1432.73
" ";"2015";1382.81
"Brezovica"
" ";"2011";1346.83
" ";"2012";1356.50
" ";"2013";1339.73
" ";"2014";1314.71
" ";"2015";1312.74
"Brežice"
" ";"2011";1371.82
" ";"2012";1359.47
" ";"2013";1350.24
" ";"2014";1370.68
" ";"2015";1388.45
"Cankova"
" ";"2011";1356.21
" ";"2012";1333.49
" ";"2013";1353.97
" ";"2014";1375.06
" ";"2015";1368.60
"Celje"
" ";"2011";1484.16
" ";"2012";1484.14
" ";"2013";1471.20
" ";"2014";1497.56
" ";"2015";1506.94
"Cerklje na Gorenjskem"
" ";"2011";1886.38
" ";"2012";1883.85
" ";"2013";2244.19
" ";"2014";2277.95
" ";"2015";2348.26
"Cerknica"
" ";"2011";1239.32
" ";"2012";1253.10
" ";"2013";1273.27
" ";"2014";1314.28
" ";"2015";1311.81
"Cerkno"
" ";"2011";1218.92
" ";"2012";1247.80
" ";"2013";1269.91
" ";"2014";1274.61
" ";"2015";1305.38
"Cerkvenjak"
" ";"2011";1403.74
" ";"2012";1388.63
" ";"2013";1369.85
" ";"2014";1397.33
" ";"2015";1451.11
"Cirkulane"
" ";"2011";1208.65
" ";"2012";1245.59
" ";"2013";1261.42
" ";"2014";1277.69
" ";"2015";1311.02
"Èrenšovci"
" ";"2011";1200.78
" ";"2012";1241.67
" ";"2013";1249.95
" ";"2014";1273.83
" ";"2015";1311.47
"Èrna na Koroškem"
" ";"2011";1458.91
" ";"2012";1443.41
" ";"2013";1457.02
" ";"2014";1461.15
" ";"2015";1504.14
"Èrnomelj"
" ";"2011";1244.15
" ";"2012";1295.22
" ";"2013";1292.30
" ";"2014";1306.31
" ";"2015";1312.20
"Destrnik"
" ";"2011";1349.17
" ";"2012";1216.49
" ";"2013";1178.71
" ";"2014";1211.46
" ";"2015";1303.36
"Divaèa"
" ";"2011";1471.63
" ";"2012";1405.60
" ";"2013";1342.24
" ";"2014";1339.45
" ";"2015";1378.74
"Dobje"
" ";"2011";1428.04
" ";"2012";1511.67
" ";"2013";1571.60
" ";"2014";1604.42
" ";"2015";1668.72
"Dobrepolje"
" ";"2011";1239.24
" ";"2012";1198.96
" ";"2013";1232.99
