"leto","drzava","vrednost"
2007,"Belgium",32500
2007,"Bulgaria",4300
2007,"Czech Republic",13400
2007,"Denmark",42700
2007,"Germany",31000
2007,"Estonia",12100
2007,"Ireland",44800
2007,"Greece",21100
2007,"Spain",23900
2007,"France",30400
2007,"Croatia",10200
2007,"Italy",27400
2007,"Cyprus",22900
2007,"Latvia",10300
2007,"Lithuania",9000
2007,"Luxembourg",77300
2007,"Hungary",10100
2007,"Malta",14200
2007,"Netherlands",37400
2007,"Austria",34000
2007,"Poland",8200
2007,"Portugal",16600
2007,"Romania",6000
2007,"Slovenia",17400
2007,"Slovakia",10400
2007,"Finland",35300
2007,"Sweden",39000
2007,"United Kingdom",36500
2007,"Iceland",50000
2007,"Norway",62200
2007,"Switzerland",46000
2007,"Former Yugoslav Republic of Macedonia, the",3000
2007,"Albania",2600
2007,"Serbia",4000
2008,"Belgium",33100
2008,"Bulgaria",5000
2008,"Czech Republic",15400
2008,"Denmark",44000
2008,"Germany",31700
2008,"Estonia",12300
2008,"Ireland",41700
2008,"Greece",21800
2008,"Spain",24300
2008,"France",31000
2008,"Croatia",11200
2008,"Italy",27600
2008,"Cyprus",24200
2008,"Latvia",11200
2008,"Lithuania",10200
2008,"Luxembourg",77900
2008,"Hungary",10700
2008,"Malta",15000
2008,"Netherlands",38900
2008,"Austria",35100
2008,"Poland",9600
2008,"Portugal",16900
2008,"Romania",6900
2008,"Slovenia",18800
2008,"Slovakia",12200
2008,"Finland",36500
2008,"Sweden",38200
2008,"United Kingdom",31800
2008,"Iceland",33800
2008,"Norway",66400
2008,"Switzerland",49000
2008,"Former Yugoslav Republic of Macedonia, the",3300
2008,"Albania",3000
2008,"Serbia",4600
2009,"Belgium",32300
2009,"Bulgaria",5000
2009,"Czech Republic",14100
2009,"Denmark",41900
2009,"Germany",30600
2009,"Estonia",10600
2009,"Ireland",37400
2009,"Greece",21400
2009,"Spain",23300
2009,"France",30000
2009,"Croatia",10500
2009,"Italy",26400
2009,"Cyprus",23100
2009,"Latvia",8800
2009,"Lithuania",8500
2009,"Luxembourg",74200
2009,"Hungary",9400
2009,"Malta",14900
2009,"Netherlands",37400
2009,"Austria",34300
2009,"Poland",8300
2009,"Portugal",16600
2009,"Romania",5900
2009,"Slovenia",17700
2009,"Slovakia",11800
2009,"Finland",33900
2009,"Sweden",33300
