"drzava","religija","prostovoljstvo"
"Austria",115.6,175
"Bulgaria",17.7,14.4
"Cyprus",1027.5,403.5
"Czech Republic",48.8,20.1
"Denmark",94.9,14.2
"Estonia",33.9,172.5
"Finland",144.5,207.5
"France",6.9,85.4
"Germany",138.3,190.1
"Greece",264.9,91
"Hungary",28,52.5
"Iceland",78.4,448.1
"Ireland",443.5,104.3
"Italy",200.6,111
"Latvia",71,186.7
"Lithuania",172.9,71.2
"Luxembourg",300.9,180.1
"Malta",685.2,65.5
"Netherlands",462.2,324
"Norway",147.9,394.7
"Poland",809,311.2
"Portugal",440.2,166.1
"Slovakia",389.8,170
"Slovenia",214.1,451.5
"Spain",90.4,241.9
"Sweden",174.2,209
