"leto","drzava","mladi"
"2008","Andorra",55796
"2008","Armenia",3036640
"2008","Austria",5673466
"2008","Azerbaijan",9042600
"2008","Belarus",7459606
"2008","Belgium",7558956
"2008","Bulgaria",4943566
"2008","Croatia",2990814
"2008","Cyprus",657834
"2008","Czech Republic",7193116
"2008","Denmark",3935400
"2008","Estonia",971620
"2008","Finland",3776916
"2008","Former Yugoslav Republic of Macedonia, the",1727392
"2008","France",94218502
"2008","Georgia",3624298
"2008","Germany",51513780
"2008","Greece",7546508
"2008","Hungary",7077058
"2008","Iceland",273870
"2008","Ireland",3961702
"2008","Italy",35353164
"2008","Latvia",1592230
"2008","Liechtenstein",24986
"2008","Lithuania",2366396
"2008","Luxembourg",355750
"2008","Malta",305038
"2008","Moldova",3209968
"2008","Montenegro",513644
"2008","Netherlands",11815826
"2008","Norway",3607756
"2008","Poland",29952742
"2008","Portugal",7190410
"2008","Romania",15194156
"2008","Russia",110540814
"2008","Serbia",5169998
"2008","Slovakia",4260842
"2008","Slovenia",1355472
"2008","Spain",31003082
"2008","Sweden",6581478
"2008","Switzerland",5134588
"2008","Turkey",75105670
"2008","Ukraine",34237246
"2008","United Kingdom",46326854
"2009","Andorra",55376
"2009","Armenia",3012784
"2009","Austria",5665800
"2009","Azerbaijan",9238000
"2009","Belarus",7384588
"2009","Belgium",7621296
"2009","Bulgaria",4847488
"2009","Croatia",2967426
"2009","Cyprus",670804
"2009","Czech Republic",7145594
"2009","Denmark",3963662
"2009","Estonia",963580
"2009","Euro area",446640550
"2009","European Union",691873078
"2009","Finland",3780390
"2009","Former Yugoslav Republic of Macedonia, the",1709208
"2009","France",94466064
"2009","Georgia",3597874
"2009","Germany",51005534
"2009","Greece",7447348
"2009","Hungary",6958444
"2009","Iceland",278170
"2009","Ireland",3975920
"2009","Italy",35347764
"2009","Latvia",1557638
"2009","Liechtenstein",24852
"2009","Lithuania",2324954
"2009","Luxembourg",361740
"2009","Malta",303636
"2009","Moldova",3171600
"2009","Montenegro",510482
"2009","Netherlands",11844834
"2009","Norway",3657500
"2009","Poland",29524926
"2009","Portugal",7070062
"2009","Romania",14201490
"2009","Russia",109637810
"2009","Serbia",5100742
"2009","Slovakia",4186206
"2009","Slovenia",1356964
"2009","Spain",30911410
"2009","Sweden",6654068
"2009","Switzerland",5194844
"2009","Turkey",75498172
"2009","Ukraine",33865366
"2009","United Kingdom",46674402
"2010","Andorra",53386
"2010","Armenia",2991708
"2010","Austria",5643736
"2010","Azerbaijan",9390304
"2010","Belgium",7670586
"2010","Bulgaria",4758602
"2010","Croatia",2939724
"2010","Cyprus",684416
"2010","Czech Republic",7067258
"2010","Denmark",3979502
"2010","Estonia",955420
"2010","Euro area",444103050
"2010","European Union",687704520
"2010","Finland",3784130
"2010","Former Yugoslav Republic of Macedonia, the",1690970
"2010","France",94604262
"2010","Georgia",3608534
"2010","Germany",50505166
"2010","Greece",7338978
"2010","Hungary",6860480
"2010","Iceland",274784
"2010","Ireland",3937748
"2010","Italy",35261228
"2010","Latvia",1501688
"2010","Liechtenstein",24862
"2010","Lithuania",2271218
"2010","Luxembourg",366732
"2010","Malta",301898
"2010","Moldova",3131754
"2010","Montenegro",508136
"2010","Netherlands",11881198
"2010","Norway",3704748
"2010","Poland",28800098
"2010","Portugal",6957430
"2010","Romania",14070980
"2010","Russia",108819532
"2010","Serbia",5039356
"2010","Slovakia",4115894
"2010","Slovenia",1349536
"2010","Spain",30508892
"2010","Sweden",6730374
"2010","Switzerland",5228350
"2010","Turkey",75765862
"2010","Ukraine",33496812
"2010","United Kingdom",46927970
"2011","Andorra",50116
"2011","Austria",5615462
"2011","Azerbaijan",9394738
"2011","Belarus",7046758
"2011","Belgium",7801564
"2011","Bulgaria",4672786
"2011","Croatia",2904418
"2011","Cyprus",694070
"2011","Czech Republic",7011368
"2011","Denmark",4001120
"2011","Estonia",945720
"2011","Euro area",439624020
"2011","European Union",682336530
"2011","Finland",3787208
"2011","Former Yugoslav Republic of Macedonia, the",1673666
"2011","France",94520100
"2011","Georgia",3604390
"2011","Germany",49241524
"2011","Greece",7209526
"2011","Hungary",6747740
"2011","Iceland",273246
"2011","Ireland",3871280
"2011","Italy",35180574
"2011","Latvia",1441160
"2011","Liechtenstein",24748
"2011","Lithuania",2165988
"2011","Luxembourg",372762
"2011","Malta",297330
"2011","Moldova",3089530
"2011","Montenegro",504222
"2011","Netherlands",11900172
"2011","Norway",3754918
"2011","Poland",28383090
"2011","Portugal",6817926
"2011","Romania",13971536
"2011","Russia",108418472
"2011","Serbia",4798122
"2011","Slovakia",4045972
"2011","Slovenia",1332436
"2011","Spain",30071950
"2011","Sweden",6795006
"2011","Switzerland",5297536
"2011","Turkey",75723196
"2011","Ukraine",33029618
"2011","United Kingdom",47238406
"2012","Andorra",50116
"2012","Austria",5589836
"2012","Azerbaijan",9429170
"2012","Belarus",6979006
"2012","Belgium",7861234
"2012","Bulgaria",4608874
"2012","Croatia",2868144
"2012","Cyprus",702838
"2012","Czech Republic",6950016
"2012","Denmark",4018496
"2012","Estonia",933028
"2012","Finland",3790134
"2012","Former Yugoslav Republic of Macedonia, the",1652744
"2012","France",94370124
"2012","Georgia",3591828
"2012","Germany",48956872
"2012","Greece",7064828
"2012","Hungary",6539668
"2012","Iceland",271924
"2012","Ireland",3799784
"2012","Italy",35088210
"2012","Latvia",1400824
"2012","Liechtenstein",24834
"2012","Lithuania",2106022
"2012","Luxembourg",380620
"2012","Malta",294982
"2012","Moldova",3042160
"2012","Montenegro",498978
"2012","Netherlands",11911204
"2012","Norway",3802704
"2012","Poland",27910660
"2012","Portugal",6699612
"2012","Romania",13890532
"2012","San Marino",19450
"2012","Serbia",4734808
"2012","Slovakia",3991470
"2012","Slovenia",1317726
"2012","Spain",29692156
"2012","Sweden",6845288
"2012","Switzerland",5323898
"2012","Turkey",75469964
"2012","Ukraine",32606520
"2012","United Kingdom",47493446
"2013","Andorra",48422
"2013","Austria",5582246
"2013","Azerbaijan",9448628
"2013","Belarus",6924186
"2013","Belgium",7896460
"2013","Bulgaria",4543832
"2013","Croatia",2833996
"2013","Cyprus",693088
"2013","Czech Republic",6884280
"2013","Denmark",4035334
"2013","Estonia",919570
"2013","Euro area",434609740
"2013","European Union",674682736
"2013","Finland",3786316
"2013","Former Yugoslav Republic of Macedonia, the",1632312
"2013","France",94337678
"2013","Germany",48799136
"2013","Greece",6897516
"2013","Hungary",6474222
"2013","Iceland",271792
"2013","Ireland",3739640
"2013","Italy",35022530
"2013","Latvia",1369856
"2013","Liechtenstein",24752
"2013","Lithuania",2067636
"2013","Luxembourg",388246
"2013","Malta",294722
"2013","Moldova",2997964
"2013","Montenegro",493272
"2013","Netherlands",11901700
"2013","Norway",3847866
"2013","Poland",27398426
"2013","Portugal",6560378
"2013","Romania",13698348
"2013","San Marino",19446
"2013","Serbia",4671678
"2013","Slovakia",3927972
"2013","Slovenia",1305872
"2013","Spain",29197752
"2013","Sweden",6905398
"2013","Switzerland",5347306
"2013","Turkey",75438996
"2013","Ukraine",32253766
"2013","United Kingdom",47645842
"2014","Albania",2503858
"2014","Austria",5581916
"2014","Azerbaijan",9450822
"2014","Belarus",6848422
"2014","Belgium",7880938
"2014","Bulgaria",4473960
"2014","Croatia",2796484
"2014","Cyprus",669094
"2014","Czech Republic",6814204
"2014","Denmark",4054794
"2014","Estonia",904978
"2014","Euro area",433468678
"2014","European Union",672074796
"2014","Finland",3778744
"2014","Former Yugoslav Republic of Macedonia, the",1611786
"2014","Georgia",3506192
"2014","Germany",48782772
"2014","Greece",6742274
"2014","Hungary",6417342
"2014","Iceland",273518
"2014","Ireland",3699248
"2014","Italy",35456976
"2014","Latvia",1334932
"2014","Liechtenstein",24704
"2014","Lithuania",2029578
"2014","Luxembourg",395320
"2014","Malta",294286
"2014","Moldova",2939328
"2014","Montenegro",487852
"2014","Netherlands",11890254
"2014","Norway",3880716
"2014","Poland",26789250
"2014","Portugal",6436940
"2014","Romania",13535014
"2014","Russia",105665134
"2014","Serbia",4601082
"2014","Slovakia",3865530
"2014","Slovenia",1292690
"2014","Spain",28662898
"2014","Sweden",6985846
"2014","Switzerland",5391358
"2014","Turkey",75655784
"2014","Ukraine",31678442
"2014","United Kingdom",47819618
"2015","Albania",2417546
"2015","Armenia",2608490
"2015","Austria",5602474
"2015","Azerbaijan",9434250
"2015","Belarus",6782616
"2015","Belgium",7901568
"2015","Bulgaria",4406180
"2015","Croatia",2752826
"2015","Cyprus",660176
"2015","Czech Republic",6770112
"2015","Denmark",4077898
"2015","Estonia",898964
"2015","Euro area",432690868
"2015","European Union",670298706
"2015","Finland",3769682
"2015","Former Yugoslav Republic of Macedonia, the",1591832
"2015","Georgia",2926800
"2015","Germany",49013330
"2015","Greece",6603640
"2015","Hungary",6375272
"2015","Iceland",274770
"2015","Ireland",3675826
"2015","Italy",35224214
"2015","Latvia",1309638
"2015","Liechtenstein",24652
"2015","Lithuania",1996728
