"drzava","prostovoljstvo","spol","starost"
"Belgium",12.6,"males","16-19"
"Bulgaria",0.4,"males","16-19"
"Czech Republic",1.1,"males","16-19"
"Denmark",1.6,"males","16-19"
"Germany",33.2,"males","16-19"
"Estonia",24.6,"males","16-19"
"Ireland",9.8,"males","16-19"
"Greece",6.9,"males","16-19"
"Spain",31.1,"males","16-19"
"France",17,"males","16-19"
"Italy",12.1,"males","16-19"
"Cyprus",66,"males","16-19"
"Latvia",30.2,"males","16-19"
"Lithuania",9.2,"males","16-19"
"Luxembourg",21.2,"males","16-19"
"Hungary",10.5,"males","16-19"
"Malta",15.6,"males","16-19"
"Netherlands",54.3,"males","16-19"
"Austria",24.5,"males","16-19"
"Poland",48.1,"males","16-19"
"Portugal",18.8,"males","16-19"
"Slovenia",78.9,"males","16-19"
"Slovakia",23.2,"males","16-19"
"Finland",34,"males","16-19"
"Sweden",36,"males","16-19"
"Iceland",83,"males","16-19"
"Norway",69,"males","16-19"
"Belgium",15.2,"females","16-19"
"Bulgaria",3.6,"females","16-19"
"Czech Republic",3.8,"females","16-19"
"Denmark",3.3,"females","16-19"
"Germany",34.1,"females","16-19"
"Estonia",28.9,"females","16-19"
"Ireland",25.9,"females","16-19"
"Greece",15.1,"females","16-19"
"Spain",36.6,"females","16-19"
"France",13.9,"females","16-19"
"Italy",21.1,"females","16-19"
"Cyprus",65.4,"females","16-19"
"Latvia",31.2,"females","16-19"
"Lithuania",13.4,"females","16-19"
"Luxembourg",27.3,"females","16-19"
"Hungary",10.8,"females","16-19"
"Malta",14.9,"females","16-19"
"Netherlands",55.3,"females","16-19"
"Austria",27.7,"females","16-19"
"Poland",57,"females","16-19"
"Portugal",27.4,"females","16-19"
"Slovenia",72.1,"females","16-19"
"Slovakia",33.7,"females","16-19"
"Finland",35.5,"females","16-19"
"Sweden",37.6,"females","16-19"
"Iceland",74.2,"females","16-19"
"Norway",64.1,"females","16-19"
"Belgium",13.3,"males","20-24"
"Bulgaria",0.9,"males","20-24"
"Czech Republic",2.9,"males","20-24"
"Denmark",1.6,"males","20-24"
"Germany",32.9,"males","20-24"
"Estonia",28.4,"males","20-24"
"Ireland",13,"males","20-24"
"Greece",15.9,"males","20-24"
"Spain",38,"males","20-24"
"France",13.1,"males","20-24"
"Italy",14.4,"males","20-24"
"Cyprus",67.2,"males","20-24"
"Latvia",27,"males","20-24"
"Lithuania",7.6,"males","20-24"
"Luxembourg",26.7,"males","20-24"
"Hungary",9.3,"males","20-24"
"Malta",8.2,"males","20-24"
"Netherlands",54.6,"males","20-24"
"Austria",27.8,"males","20-24"
"Poland",47.6,"males","20-24"
"Portugal",25.9,"males","20-24"
"Slovenia",79.3,"males","20-24"
"Slovakia",24.6,"males","20-24"
"Finland",34.8,"males","20-24"
"Sweden",33.7,"males","20-24"
"Iceland",74,"males","20-24"
"Norway",67.7,"males","20-24"
"Belgium",12.3,"females","20-24"
"Bulgaria",2.7,"females","20-24"
"Czech Republic",3.5,"females","20-24"
"Denmark",3.7,"females","20-24"
"Germany",28.9,"females","20-24"
"Estonia",27.9,"females","20-24"
"Ireland",21,"females","20-24"
"Greece",19.5,"females","20-24"
"Spain",47.4,"females","20-24"
"France",14.7,"females","20-24"
"Italy",22.3,"females","20-24"
"Cyprus",69,"females","20-24"
"Latvia",28.8,"females","20-24"
"Lithuania",11.5,"females","20-24"
"Luxembourg",38.7,"females","20-24"
"Hungary",5.6,"females","20-24"
"Malta",8.4,"females","20-24"
"Netherlands",54.2,"females","20-24"
"Austria",32,"females","20-24"
"Poland",55.6,"females","20-24"
"Portugal",30.6,"females","20-24"
"Slovenia",67.3,"females","20-24"
"Slovakia",30.8,"females","20-24"
"Finland",34.6,"females","20-24"
"Sweden",32.1,"females","20-24"
"Iceland",69.2,"females","20-24"
"Norway",66,"females","20-24"
"Belgium",10.8,"males","25-29"
"Bulgaria",1.4,"males","25-29"
"Czech Republic",4.2,"males","25-29"
"Denmark",3.2,"males","25-29"
"Germany",31,"males","25-29"
"Estonia",31.4,"males","25-29"
"Ireland",10.3,"males","25-29"
"Greece",15.2,"males","25-29"
"Spain",41.6,"males","25-29"
"France",12.3,"males","25-29"
"Italy",17.7,"males","25-29"
"Cyprus",69.4,"males","25-29"
"Latvia",33.8,"males","25-29"
"Lithuania",13.9,"males","25-29"
"Luxembourg",28.4,"males","25-29"
"Hungary",7.4,"males","25-29"
"Malta",8.4,"males","25-29"
"Netherlands",45.5,"males","25-29"
"Austria",29.9,"males","25-29"
"Poland",48,"males","25-29"
"Portugal",29.1,"males","25-29"
"Slovenia",79.8,"males","25-29"
"Slovakia",23.7,"males","25-29"
"Finland",29.3,"males","25-29"
