"starost","drzava","spol","religija"
"16 - 29","Bulgaria","Males",1.2
"16 - 29","Bulgaria","Females",1.8
"16 - 29","Czech Republic","Males",4.2
"16 - 29","Czech Republic","Females",4.4
"16 - 29","Denmark","Males",6.7
"16 - 29","Denmark","Females",9.2
"16 - 29","Germany","Males",11.1
"16 - 29","Germany","Females",12.5
"16 - 29","Estonia","Males",2.1
"16 - 29","Estonia","Females",3.6
"16 - 29","Ireland","Males",32.7
"16 - 29","Ireland","Females",42.3
"16 - 29","Greece","Males",18.9
"16 - 29","Greece","Females",26.3
"16 - 29","Spain","Males",6
"16 - 29","Spain","Females",8.8
"16 - 29","France","Males",0.4
"16 - 29","France","Females",0.8
"16 - 29","Italy","Males",12.9
"16 - 29","Italy","Females",20.2
"16 - 29","Cyprus","Males",83.9
"16 - 29","Cyprus","Females",87.4
"16 - 29","Latvia","Males",5.1
"16 - 29","Latvia","Females",6.8
"16 - 29","Lithuania","Males",10.7
"16 - 29","Lithuania","Females",18.4
"16 - 29","Luxembourg","Males",21.2
"16 - 29","Luxembourg","Females",29.5
"16 - 29","Hungary","Males",1.9
"16 - 29","Hungary","Females",2.8
"16 - 29","Malta","Males",56.6
"16 - 29","Malta","Females",57.9
"16 - 29","Netherlands","Males",34.7
"16 - 29","Netherlands","Females",42.3
"16 - 29","Austria","Males",8.8
"16 - 29","Austria","Females",10.7
"16 - 29","Poland","Males",63.9
"16 - 29","Poland","Females",70.6
"16 - 29","Portugal","Males",30.3
"16 - 29","Portugal","Females",43
"16 - 29","Slovenia","Males",17.4
"16 - 29","Slovenia","Females",17.7
"16 - 29","Slovakia","Males",28.2
"16 - 29","Slovakia","Females",36.6
"16 - 29","Finland","Males",8.9
"16 - 29","Finland","Females",15.3
"16 - 29","Sweden","Males",13.4
"16 - 29","Sweden","Females",15.9
"16 - 29","United Kingdom","Males",4.3
"16 - 29","United Kingdom","Females",6.8
"16 - 29","Iceland","Males",5.7
"16 - 29","Iceland","Females",7.7
"16 - 29","Norway","Males",10.7
"16 - 29","Norway","Females",14.1
"20 - 29","Bulgaria","Males",1.1
"20 - 29","Bulgaria","Females",1.9
"20 - 29","Czech Republic","Males",5.1
"20 - 29","Czech Republic","Females",4.7
"20 - 29","Denmark","Males",6.9
"20 - 29","Denmark","Females",9.9
"20 - 29","Germany","Males",9.8
"20 - 29","Germany","Females",10.5
"20 - 29","Estonia","Males",2.1
"20 - 29","Estonia","Females",4.1
"20 - 29","Ireland","Males",29
"20 - 29","Ireland","Females",38.2
"20 - 29","Greece","Males",18.8
"20 - 29","Greece","Females",25.5
"20 - 29","Spain","Males",5.2
"20 - 29","Spain","Females",8
"20 - 29","France","Males",0.2
"20 - 29","France","Females",0.6
"20 - 29","Italy","Males",11.8
"20 - 29","Italy","Females",19.1
"20 - 29","Cyprus","Males",82.2
"20 - 29","Cyprus","Females",87.3
"20 - 29","Latvia","Males",4.9
"20 - 29","Latvia","Females",7.4
"20 - 29","Lithuania","Males",10.1
"20 - 29","Lithuania","Females",19
"20 - 29","Luxembourg","Males",22.5
"20 - 29","Luxembourg","Females",29.9
"20 - 29","Hungary","Males",1.9
"20 - 29","Hungary","Females",2.7
"20 - 29","Malta","Males",57.1
"20 - 29","Malta","Females",58.7
"20 - 29","Netherlands","Males",33.3
"20 - 29","Netherlands","Females",38.7
"20 - 29","Austria","Males",10
"20 - 29","Austria","Females",12.3
"20 - 29","Poland","Males",61.4
"20 - 29","Poland","Females",68.2
"20 - 29","Portugal","Males",29.7
"20 - 29","Portugal","Females",43.4
"20 - 29","Slovenia","Males",15.5
"20 - 29","Slovenia","Females",16.3
"20 - 29","Slovakia","Males",27
"20 - 29","Slovakia","Females",35.4
"20 - 29","Finland","Males",6.9
"20 - 29","Finland","Females",15.2
"20 - 29","Sweden","Males",14.1
"20 - 29","Sweden","Females",16.6
"20 - 29","United Kingdom","Males",4.2
"20 - 29","United Kingdom","Females",5.9
"20 - 29","Iceland","Males",6
"20 - 29","Iceland","Females",6.9
"20 - 29","Norway","Males",9.7
"20 - 29","Norway","Females",11.5
"16 - 19","Bulgaria","Males",1.4
"16 - 19","Bulgaria","Females",1.6
"16 - 19","Czech Republic","Males",2
"16 - 19","Czech Republic","Females",3.7
"16 - 19","Denmark","Males",6.1
"16 - 19","Denmark","Females",7.5
"16 - 19","Germany","Males",12.9
"16 - 19","Germany","Females",15.7
"16 - 19","Estonia","Males",2.1
"16 - 19","Estonia","Females",2.4
"16 - 19","Ireland","Males",39.5
"16 - 19","Ireland","Females",51
"16 - 19","Greece","Males",19.3
"16 - 19","Greece","Females",28.7
"16 - 19","Spain","Males",8.8
"16 - 19","Spain","Females",11.5
"16 - 19","France","Males",0.9
"16 - 19","France","Females",1.1
"16 - 19","Italy","Males",16.4
"16 - 19","Italy","Females",23.8
"16 - 19","Cyprus","Males",88.7
"16 - 19","Cyprus","Females",87.4
"16 - 19","Latvia","Males",5.5
"16 - 19","Latvia","Females",5.5
"16 - 19","Lithuania","Males",12
"16 - 19","Lithuania","Females",16.9
"16 - 19","Luxembourg","Males",17.5
"16 - 19","Luxembourg","Females",28.2
"16 - 19","Hungary","Males",1.8
"16 - 19","Hungary","Females",3
"16 - 19","Malta","Males",55.2
"16 - 19","Malta","Females",55.6
"16 - 19","Netherlands","Males",38.7
"16 - 19","Netherlands","Females",51.9
"16 - 19","Austria","Males",5.8
"16 - 19","Austria","Females",6.3
"16 - 19","Poland","Males",70.6
"16 - 19","Poland","Females",77.3
"16 - 19","Portugal","Males",31.9
"16 - 19","Portugal","Females",42
"16 - 19","Slovenia","Males",22.3
"16 - 19","Slovenia","Females",22.3
"16 - 19","Slovakia","Males",31
"16 - 19","Slovakia","Females",39.3
"16 - 19","Finland","Males",14.9
"16 - 19","Finland","Females",15.6
"16 - 19","Sweden","Males",12.3
"16 - 19","Sweden","Females",14.4
"16 - 19","United Kingdom","Males",4.6
"16 - 19","United Kingdom","Females",9.2
"16 - 19","Iceland","Males",4.8
"16 - 19","Iceland","Females",9.4
"16 - 19","Norway","Males",13.7
"16 - 19","Norway","Females",21.1
"16 - 24","Bulgaria","Males",0.8
"16 - 24","Bulgaria","Females",1.7
"16 - 24","Czech Republic","Males",2.7
"16 - 24","Czech Republic","Females",3.4
"16 - 24","Denmark","Males",5.7
"16 - 24","Denmark","Females",9.3
"16 - 24","Germany","Males",11.5
"16 - 24","Germany","Females",13.8
"16 - 24","Estonia","Males",2
"16 - 24","Estonia","Females",2.8
"16 - 24","Ireland","Males",34.7
"16 - 24","Ireland","Females",43.4
"16 - 24","Greece","Males",17
"16 - 24","Greece","Females",23.1
"16 - 24","Spain","Males",6.7
