"leto","drzava","BDPpc","drzavljani","mladi","izobrazba","zaposlenost","neformalno","neaktivni"
2008,"Austria",35100,8321.54,68.1780776154414,81.8,2969.1,24.7,3.8
2008,"Austria",35100,8321.54,68.1780776154414,81.8,2969.1,24.7,3.8
2008,"Austria",35100,8321.54,68.1780776154414,81.8,2969.1,24.7,3.8
2008,"Austria",35100,8321.54,68.1780776154414,81.8,2969.1,24.7,3.8
2008,"Belgium",33100,10707,70.5982628187167,73.8,1907.4,6.3,3.6
2008,"Belgium",33100,10707,70.5982628187167,73.8,1907.4,6.3,3.6
2008,"Belgium",33100,10707,70.5982628187167,73.8,1907.4,6.3,3.6
2008,"Belgium",33100,10707,70.5982628187167,73.8,1907.4,6.3,3.6
2008,"Bulgaria",5000,7492.56,65.9796651611732,84.2,1616.3,2.7,10.3
2008,"Bulgaria",5000,7492.56,65.9796651611732,84.2,1616.3,2.7,10.3
2008,"Bulgaria",5000,7492.56,65.9796651611732,84.2,1616.3,2.7,10.3
2008,"Bulgaria",5000,7492.56,65.9796651611732,84.2,1616.3,2.7,10.3
2008,"Croatia",11200,4312.76,69.3480277131118,73.1,1060.5,1.9,1.7
2008,"Croatia",11200,4312.76,69.3480277131118,73.1,1060.5,1.9,1.7
2008,"Croatia",11200,4312.76,69.3480277131118,73.1,1060.5,1.9,1.7
2008,"Croatia",11200,4312.76,69.3480277131118,73.1,1060.5,1.9,1.7
2008,"Cyprus",24200,786.63,83.6268639639983,73.8,174.2,58.3,2.2
2008,"Cyprus",24200,786.63,83.6268639639983,73.8,174.2,58.3,2.2
2008,"Cyprus",24200,786.63,83.6268639639983,73.8,174.2,58.3,2.2
2008,"Cyprus",24200,786.63,83.6268639639983,73.8,174.2,58.3,2.2
2008,"Czech Republic",15400,10429.69,68.9676874384569,88,2824.3,13.2,2
2008,"Czech Republic",15400,10429.69,68.9676874384569,88,2824.3,13.2,2
2008,"Czech Republic",15400,10429.69,68.9676874384569,88,2824.3,13.2,2
2008,"Czech Republic",15400,10429.69,68.9676874384569,88,2824.3,13.2,2
2008,"Denmark",44000,5493,71.6439104314582,92.9,1919.1,63.9,1.8
2008,"Denmark",44000,5493,71.6439104314582,92.9,1919.1,63.9,1.8
2008,"Denmark",44000,5493,71.6439104314582,92.9,1919.1,63.9,1.8
2008,"Denmark",44000,5493,71.6439104314582,92.9,1919.1,63.9,1.8
2008,"Estonia",12300,1338.4,72.5956365809922,87.6,371.4,10,4.4
2008,"Estonia",12300,1338.4,72.5956365809922,87.6,371.4,10,4.4
2008,"Estonia",12300,1338.4,72.5956365809922,87.6,371.4,10,4.4
2008,"Estonia",12300,1338.4,72.5956365809922,87.6,371.4,10,4.4
