"leto","drzava","spol","starost","izobrazba","stevilo"
2007,"Belgium","Males","15 do 19","0-2",14.6
2007,"Belgium","Males","15 do 19","3-4",11.3
2007,"Belgium","Males","15 do 24","0-2",47.1
2007,"Belgium","Males","15 do 24","3-4",113.7
2007,"Belgium","Males","15 do 29","0-2",93.5
2007,"Belgium","Males","15 do 29","3-4",249.4
2007,"Belgium","Males","20 do 24","0-2",32.5
2007,"Belgium","Males","20 do 24","3-4",102.4
2007,"Belgium","Males","20 do 29","0-2",79
2007,"Belgium","Males","20 do 29","3-4",238
2007,"Belgium","Males","25 do 29","0-2",46.4
2007,"Belgium","Males","25 do 29","3-4",135.7
2007,"Belgium","Females","15 do 19","0-2",9.5
2007,"Belgium","Females","15 do 19","3-4",7.5
2007,"Belgium","Females","15 do 24","0-2",25.6
2007,"Belgium","Females","15 do 24","3-4",77.8
2007,"Belgium","Females","15 do 29","0-2",49.4
2007,"Belgium","Females","15 do 29","3-4",164.1
2007,"Belgium","Females","20 do 24","0-2",16
2007,"Belgium","Females","20 do 24","3-4",70.3
2007,"Belgium","Females","20 do 29","0-2",39.8
2007,"Belgium","Females","20 do 29","3-4",156.6
2007,"Belgium","Females","25 do 29","0-2",23.8
2007,"Belgium","Females","25 do 29","3-4",86.4
2007,"Bulgaria","Males","15 do 19","0-2",7.6
2007,"Bulgaria","Males","15 do 19","3-4",7.9
2007,"Bulgaria","Males","15 do 24","0-2",23.9
2007,"Bulgaria","Males","15 do 24","3-4",109.7
2007,"Bulgaria","Males","15 do 29","0-2",48.1
2007,"Bulgaria","Males","15 do 29","3-4",231.7
2007,"Bulgaria","Males","20 do 24","0-2",16.3
2007,"Bulgaria","Males","20 do 24","3-4",101.8
2007,"Bulgaria","Males","20 do 29","0-2",40.5
2007,"Bulgaria","Males","20 do 29","3-4",223.7
2007,"Bulgaria","Males","25 do 29","0-2",24.2
2007,"Bulgaria","Males","25 do 29","3-4",122
2007,"Bulgaria","Females","15 do 19","0-2",4.1
2007,"Bulgaria","Females","15 do 19","3-4",8.2
2007,"Bulgaria","Females","15 do 24","0-2",12.9
2007,"Bulgaria","Females","15 do 24","3-4",84.5
2007,"Bulgaria","Females","15 do 29","0-2",26.5
2007,"Bulgaria","Females","15 do 29","3-4",154.4
2007,"Bulgaria","Females","20 do 24","0-2",8.8
2007,"Bulgaria","Females","20 do 24","3-4",76.2
2007,"Bulgaria","Females","20 do 29","0-2",22.3
2007,"Bulgaria","Females","20 do 29","3-4",146.2
2007,"Bulgaria","Females","25 do 29","0-2",13.5
2007,"Bulgaria","Females","25 do 29","3-4",70
2007,"Czech Republic","Males","15 do 19","0-2",5.7
2007,"Czech Republic","Males","15 do 19","3-4",15.9
2007,"Czech Republic","Males","15 do 24","0-2",19.3
2007,"Czech Republic","Males","15 do 24","3-4",201.3
2007,"Czech Republic","Males","15 do 29","0-2",34.4
2007,"Czech Republic","Males","15 do 29","3-4",500.9
2007,"Czech Republic","Males","20 do 24","0-2",13.6
2007,"Czech Republic","Males","20 do 24","3-4",185.4
2007,"Czech Republic","Males","20 do 29","0-2",28.8
2007,"Czech Republic","Males","20 do 29","3-4",485
2007,"Czech Republic","Males","25 do 29","0-2",15.1
2007,"Czech Republic","Males","25 do 29","3-4",299.6
2007,"Czech Republic","Females","15 do 19","0-2",3.2
2007,"Czech Republic","Females","15 do 19","3-4",9
2007,"Czech Republic","Females","15 do 24","0-2",8.3
2007,"Czech Republic","Females","15 do 24","3-4",139.1
2007,"Czech Republic","Females","15 do 29","0-2",15
2007,"Czech Republic","Females","15 do 29","3-4",315.5
2007,"Czech Republic","Females","20 do 24","0-2",5.1
2007,"Czech Republic","Females","20 do 24","3-4",130.2
2007,"Czech Republic","Females","20 do 29","0-2",11.8
2007,"Czech Republic","Females","20 do 29","3-4",306.5
2007,"Czech Republic","Females","25 do 29","0-2",6.7
2007,"Czech Republic","Females","25 do 29","3-4",176.3
2007,"Denmark","Males","15 do 19","0-2",85.4
2007,"Denmark","Males","15 do 19","3-4",5.7
2007,"Denmark","Males","15 do 24","0-2",126.2
2007,"Denmark","Males","15 do 24","3-4",72.9
