"ACL00","GEO","UNIT","AGE","SEX","TIME","FREQUENC","Value","Flag and Footnotes"
"Cinema","European Union (27 countries)","Percentage","From 16 to 19 years","Total","2006","Never","15.5","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 19 years","Total","2006","From 1 to 3 times","32.3","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 19 years","Total","2006","From 4 to 6 times","25.5","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 19 years","Total","2006","From 7 to 12 times","15.5","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 19 years","Total","2006","More than 12 times","11.2","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 24 years","Total","2006","Never","18.5","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 24 years","Total","2006","From 1 to 3 times","30.6","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 24 years","Total","2006","From 4 to 6 times","23.5","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 24 years","Total","2006","From 7 to 12 times","15.3","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 24 years","Total","2006","More than 12 times","12.1","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 29 years","Total","2006","Never","23.3","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 29 years","Total","2006","From 1 to 3 times","31.1","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 29 years","Total","2006","From 4 to 6 times","21.2","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 29 years","Total","2006","From 7 to 12 times","13.6","e"
"Cinema","European Union (27 countries)","Percentage","From 16 to 29 years","Total","2006","More than 12 times","10.8","e"
"Cinema","European Union (27 countries)","Percentage","From 20 to 24 years","Total","2006","Never","21","e"
"Cinema","European Union (27 countries)","Percentage","From 20 to 24 years","Total","2006","From 1 to 3 times","29.2","e"
"Cinema","European Union (27 countries)","Percentage","From 20 to 24 years","Total","2006","From 4 to 6 times","21.9","e"
"Cinema","European Union (27 countries)","Percentage","From 20 to 24 years","Total","2006","From 7 to 12 times","15.1","e"
"Cinema","European Union (27 countries)","Percentage","From 20 to 24 years","Total","2006","More than 12 times","12.8","e"
"Cinema","European Union (27 countries)","Percentage","From 20 to 29 years","Total","2006","Never","26.4","e"
"Cinema","European Union (27 countries)","Percentage","From 20 to 29 years","Total","2006","From 1 to 3 times","30.7","e"
"Cinema","European Union (27 countries)","Percentage","From 20 to 29 years","Total","2006","From 4 to 6 times","19.4","e"
"Cinema","European Union (27 countries)","Percentage","From 20 to 29 years","Total","2006","From 7 to 12 times","12.9","e"
"Cinema","European Union (27 countries)","Percentage","From 20 to 29 years","Total","2006","More than 12 times","10.6","e"
"Cinema","European Union (27 countries)","Percentage","From 25 to 29 years","Total","2006","Never","31.4","e"
"Cinema","European Union (27 countries)","Percentage","From 25 to 29 years","Total","2006","From 1 to 3 times","32","e"
"Cinema","European Union (27 countries)","Percentage","From 25 to 29 years","Total","2006","From 4 to 6 times","17.2","e"
"Cinema","European Union (27 countries)","Percentage","From 25 to 29 years","Total","2006","From 7 to 12 times","10.8","e"
"Cinema","European Union (27 countries)","Percentage","From 25 to 29 years","Total","2006","More than 12 times","8.6","e"
"Cinema","Belgium","Percentage","From 16 to 19 years","Total","2006","Never","11.4",""
"Cinema","Belgium","Percentage","From 16 to 19 years","Total","2006","From 1 to 3 times","22.9",""
"Cinema","Belgium","Percentage","From 16 to 19 years","Total","2006","From 4 to 6 times","25.8",""
"Cinema","Belgium","Percentage","From 16 to 19 years","Total","2006","From 7 to 12 times","18.4",""
"Cinema","Belgium","Percentage","From 16 to 19 years","Total","2006","More than 12 times","21.5",""
"Cinema","Belgium","Percentage","From 16 to 24 years","Total","2006","Never","13.8",""
"Cinema","Belgium","Percentage","From 16 to 24 years","Total","2006","From 1 to 3 times","23",""
"Cinema","Belgium","Percentage","From 16 to 24 years","Total","2006","From 4 to 6 times","26.1",""
"Cinema","Belgium","Percentage","From 16 to 24 years","Total","2006","From 7 to 12 times","16.8",""
"Cinema","Belgium","Percentage","From 16 to 24 years","Total","2006","More than 12 times","20.4",""
"Cinema","Belgium","Percentage","From 16 to 29 years","Total","2006","Never","18.3",""
"Cinema","Belgium","Percentage","From 16 to 29 years","Total","2006","From 1 to 3 times","27",""
"Cinema","Belgium","Percentage","From 16 to 29 years","Total","2006","From 4 to 6 times","23.9",""
"Cinema","Belgium","Percentage","From 16 to 29 years","Total","2006","From 7 to 12 times","14.5",""
"Cinema","Belgium","Percentage","From 16 to 29 years","Total","2006","More than 12 times","16.3",""
"Cinema","Belgium","Percentage","From 20 to 24 years","Total","2006","Never","16",""
"Cinema","Belgium","Percentage","From 20 to 24 years","Total","2006","From 1 to 3 times","23.1",""
"Cinema","Belgium","Percentage","From 20 to 24 years","Total","2006","From 4 to 6 times","26.4",""
"Cinema","Belgium","Percentage","From 20 to 24 years","Total","2006","From 7 to 12 times","15.2",""
"Cinema","Belgium","Percentage","From 20 to 24 years","Total","2006","More than 12 times","19.3",""
"Cinema","Belgium","Percentage","From 20 to 29 years","Total","2006","Never","21.4",""
"Cinema","Belgium","Percentage","From 20 to 29 years","Total","2006","From 1 to 3 times","28.9",""
"Cinema","Belgium","Percentage","From 20 to 29 years","Total","2006","From 4 to 6 times","23",""
"Cinema","Belgium","Percentage","From 20 to 29 years","Total","2006","From 7 to 12 times","12.8",""
"Cinema","Belgium","Percentage","From 20 to 29 years","Total","2006","More than 12 times","14",""
"Cinema","Belgium","Percentage","From 25 to 29 years","Total","2006","Never","26.1",""
"Cinema","Belgium","Percentage","From 25 to 29 years","Total","2006","From 1 to 3 times","33.9",""
"Cinema","Belgium","Percentage","From 25 to 29 years","Total","2006","From 4 to 6 times","20.1",""
"Cinema","Belgium","Percentage","From 25 to 29 years","Total","2006","From 7 to 12 times","10.6",""
"Cinema","Belgium","Percentage","From 25 to 29 years","Total","2006","More than 12 times","9.4",""
"Cinema","Bulgaria","Percentage","From 16 to 19 years","Total","2006","Never","54.7",""
"Cinema","Bulgaria","Percentage","From 16 to 19 years","Total","2006","From 1 to 3 times","22.5",""
"Cinema","Bulgaria","Percentage","From 16 to 19 years","Total","2006","From 4 to 6 times","11.6",""
"Cinema","Bulgaria","Percentage","From 16 to 19 years","Total","2006","From 7 to 12 times","5.4",""
"Cinema","Bulgaria","Percentage","From 16 to 19 years","Total","2006","More than 12 times","5.9",""
"Cinema","Bulgaria","Percentage","From 16 to 24 years","Total","2006","Never","58",""
"Cinema","Bulgaria","Percentage","From 16 to 24 years","Total","2006","From 1 to 3 times","22.3",""
"Cinema","Bulgaria","Percentage","From 16 to 24 years","Total","2006","From 4 to 6 times","10.1",""
"Cinema","Bulgaria","Percentage","From 16 to 24 years","Total","2006","From 7 to 12 times","4.8",""
"Cinema","Bulgaria","Percentage","From 16 to 24 years","Total","2006","More than 12 times","4.7",""
"Cinema","Bulgaria","Percentage","From 16 to 29 years","Total","2006","Never","61.8",""
"Cinema","Bulgaria","Percentage","From 16 to 29 years","Total","2006","From 1 to 3 times","21.4",""
"Cinema","Bulgaria","Percentage","From 16 to 29 years","Total","2006","From 4 to 6 times","9.1",""
"Cinema","Bulgaria","Percentage","From 16 to 29 years","Total","2006","From 7 to 12 times","3.7",""
"Cinema","Bulgaria","Percentage","From 16 to 29 years","Total","2006","More than 12 times","4",""
"Cinema","Bulgaria","Percentage","From 20 to 24 years","Total","2006","Never","61.2",""
"Cinema","Bulgaria","Percentage","From 20 to 24 years","Total","2006","From 1 to 3 times","22.2",""
"Cinema","Bulgaria","Percentage","From 20 to 24 years","Total","2006","From 4 to 6 times","8.8",""
"Cinema","Bulgaria","Percentage","From 20 to 24 years","Total","2006","From 7 to 12 times","4.3",""
"Cinema","Bulgaria","Percentage","From 20 to 24 years","Total","2006","More than 12 times","3.5",""
"Cinema","Bulgaria","Percentage","From 20 to 29 years","Total","2006","Never","65.2",""
"Cinema","Bulgaria","Percentage","From 20 to 29 years","Total","2006","From 1 to 3 times","20.9",""
"Cinema","Bulgaria","Percentage","From 20 to 29 years","Total","2006","From 4 to 6 times","7.9",""
"Cinema","Bulgaria","Percentage","From 20 to 29 years","Total","2006","From 7 to 12 times","2.9",""
"Cinema","Bulgaria","Percentage","From 20 to 29 years","Total","2006","More than 12 times","3.1",""
"Cinema","Bulgaria","Percentage","From 25 to 29 years","Total","2006","Never","69.5",""
"Cinema","Bulgaria","Percentage","From 25 to 29 years","Total","2006","From 1 to 3 times","19.6",""
"Cinema","Bulgaria","Percentage","From 25 to 29 years","Total","2006","From 4 to 6 times","7",""
"Cinema","Bulgaria","Percentage","From 25 to 29 years","Total","2006","From 7 to 12 times","1.4",""
"Cinema","Bulgaria","Percentage","From 25 to 29 years","Total","2006","More than 12 times","2.6",""
"Cinema","Czech Republic","Percentage","From 16 to 19 years","Total","2006","Never","21.3",""
"Cinema","Czech Republic","Percentage","From 16 to 19 years","Total","2006","From 1 to 3 times","33.9",""
"Cinema","Czech Republic","Percentage","From 16 to 19 years","Total","2006","From 4 to 6 times","24.6",""
"Cinema","Czech Republic","Percentage","From 16 to 19 years","Total","2006","From 7 to 12 times","13.7",""
"Cinema","Czech Republic","Percentage","From 16 to 19 years","Total","2006","More than 12 times","6.5",""
"Cinema","Czech Republic","Percentage","From 16 to 24 years","Total","2006","Never","24.5",""
"Cinema","Czech Republic","Percentage","From 16 to 24 years","Total","2006","From 1 to 3 times","34",""
"Cinema","Czech Republic","Percentage","From 16 to 24 years","Total","2006","From 4 to 6 times","22.1",""
"Cinema","Czech Republic","Percentage","From 16 to 24 years","Total","2006","From 7 to 12 times","11.8",""
"Cinema","Czech Republic","Percentage","From 16 to 24 years","Total","2006","More than 12 times","7.6",""
"Cinema","Czech Republic","Percentage","From 16 to 29 years","Total","2006","Never","30.2",""
"Cinema","Czech Republic","Percentage","From 16 to 29 years","Total","2006","From 1 to 3 times","35.1",""
"Cinema","Czech Republic","Percentage","From 16 to 29 years","Total","2006","From 4 to 6 times","17.8",""
"Cinema","Czech Republic","Percentage","From 16 to 29 years","Total","2006","From 7 to 12 times","10.4",""
"Cinema","Czech Republic","Percentage","From 16 to 29 years","Total","2006","More than 12 times","6.7",""
"Cinema","Czech Republic","Percentage","From 20 to 24 years","Total","2006","Never","27.5",""
"Cinema","Czech Republic","Percentage","From 20 to 24 years","Total","2006","From 1 to 3 times","34",""
"Cinema","Czech Republic","Percentage","From 20 to 24 years","Total","2006","From 4 to 6 times","19.8",""
