"TIME","GEO","UNIT","SEX","AGE","Value","Flag and Footnotes"
"2008","European Union (28 countries)","Percentage","Total","From 15 to 19 years","6.0",""
"2008","European Union (28 countries)","Percentage","Total","From 20 to 24 years","6.4",""
"2008","European Union (28 countries)","Percentage","Total","From 25 to 29 years","6.8",""
"2008","European Union (28 countries)","Percentage","Total","From 15 to 29 years","19.1",""
"2008","European Union (27 countries)","Percentage","Total","From 15 to 19 years","6.0",""
"2008","European Union (27 countries)","Percentage","Total","From 20 to 24 years","6.4",""
"2008","European Union (27 countries)","Percentage","Total","From 25 to 29 years","6.8",""
"2008","European Union (27 countries)","Percentage","Total","From 15 to 29 years","19.1",""
"2008","Euro area (19 countries)","Percentage","Total","From 15 to 19 years","5.7",""
"2008","Euro area (19 countries)","Percentage","Total","From 20 to 24 years","6.0",""
"2008","Euro area (19 countries)","Percentage","Total","From 25 to 29 years","6.6",""
"2008","Euro area (19 countries)","Percentage","Total","From 15 to 29 years","18.3",""
"2008","Euro area (18 countries)","Percentage","Total","From 15 to 19 years","5.7",""
"2008","Euro area (18 countries)","Percentage","Total","From 20 to 24 years","6.0",""
"2008","Euro area (18 countries)","Percentage","Total","From 25 to 29 years","6.6",""
"2008","Euro area (18 countries)","Percentage","Total","From 15 to 29 years","18.3",""
"2008","Belgium","Percentage","Total","From 15 to 19 years","6.1",""
"2008","Belgium","Percentage","Total","From 20 to 24 years","6.0",""
"2008","Belgium","Percentage","Total","From 25 to 29 years","6.4",""
"2008","Belgium","Percentage","Total","From 15 to 29 years","18.6",""
"2008","Bulgaria","Percentage","Total","From 15 to 19 years","6.2",""
"2008","Bulgaria","Percentage","Total","From 20 to 24 years","6.7",""
"2008","Bulgaria","Percentage","Total","From 25 to 29 years","6.9",""
"2008","Bulgaria","Percentage","Total","From 15 to 29 years","19.8",""
"2008","Czech Republic","Percentage","Total","From 15 to 19 years","6.2",""
"2008","Czech Republic","Percentage","Total","From 20 to 24 years","6.6",""
"2008","Czech Republic","Percentage","Total","From 25 to 29 years","7.7",""
"2008","Czech Republic","Percentage","Total","From 15 to 29 years","20.5",""
"2008","Denmark","Percentage","Total","From 15 to 19 years","6.1",""
"2008","Denmark","Percentage","Total","From 20 to 24 years","5.5",""
"2008","Denmark","Percentage","Total","From 25 to 29 years","5.8",""
"2008","Denmark","Percentage","Total","From 15 to 29 years","17.5",""
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Total","From 15 to 19 years","5.6",""
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Total","From 20 to 24 years","5.9",""
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Total","From 25 to 29 years","6.1",""
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Total","From 15 to 29 years","17.6",""
"2008","Estonia","Percentage","Total","From 15 to 19 years","7.0",""
"2008","Estonia","Percentage","Total","From 20 to 24 years","7.4",""
"2008","Estonia","Percentage","Total","From 25 to 29 years","7.0",""
"2008","Estonia","Percentage","Total","From 15 to 29 years","21.5",""
"2008","Ireland","Percentage","Total","From 15 to 19 years","6.6",""
"2008","Ireland","Percentage","Total","From 20 to 24 years","8.4",""
"2008","Ireland","Percentage","Total","From 25 to 29 years","9.1",""
"2008","Ireland","Percentage","Total","From 15 to 29 years","24.1",""
"2008","Greece","Percentage","Total","From 15 to 19 years","5.6",""
"2008","Greece","Percentage","Total","From 20 to 24 years","6.3",""
"2008","Greece","Percentage","Total","From 25 to 29 years","7.6",""
"2008","Greece","Percentage","Total","From 15 to 29 years","19.5",""
"2008","Spain","Percentage","Total","From 15 to 19 years","5.1",""
"2008","Spain","Percentage","Total","From 20 to 24 years","6.2",""
"2008","Spain","Percentage","Total","From 25 to 29 years","8.1",""
"2008","Spain","Percentage","Total","From 15 to 29 years","19.3",""
"2008","France","Percentage","Total","From 15 to 19 years","6.4",""
"2008","France","Percentage","Total","From 20 to 24 years","6.3",""
