"TIME","GEO","ISCED11","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2004","European Union (28 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","79.2",""
"2004","European Union (27 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","79.3",""
"2004","Euro area (19 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","82.3",""
"2004","Euro area (18 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","82.2",""
"2004","Belgium","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","77.6",""
"2004","Bulgaria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","87.3",""
"2004","Czech Republic","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","88.5",""
"2004","Denmark","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","92.9",""
"2004","Germany (until 1990 former territory of the FRG)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","93.4",""
"2004","Estonia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.5",""
"2004","Ireland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","75.0",""
"2004","Greece","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","70.8","b"
"2004","Spain","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","76.6","u"
"2004","France","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.8",""
"2004","Croatia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","71.1",""
"2004","Italy","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.1","b"
"2004","Cyprus","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","79.2",""
"2004","Latvia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","80.2",""
"2004","Lithuania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.8",""
"2004","Luxembourg","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","87.9",""
"2004","Hungary","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.9",""
"2004","Malta","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","79.5","d"
"2004","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","80.5",""
"2004","Austria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","74.9","b"
"2004","Poland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.6",""
"2004","Portugal","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","86.0","b"
"2004","Romania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","86.8",""
"2004","Slovenia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","86.1",""
"2004","Slovakia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","88.4",""
"2004","Finland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.8",""
"2004","Sweden","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","89.1","u"
"2004","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","42.2","bu"
"2005","European Union (28 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage",":",""
"2005","European Union (27 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","77.4",""
"2005","Euro area (19 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","81.1",""
"2005","Euro area (18 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","81.1",""
"2005","Belgium","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","74.4",""
"2005","Bulgaria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.0",""
"2005","Czech Republic","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","86.4",""
"2005","Denmark","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","90.1",""
"2005","Germany (until 1990 former territory of the FRG)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","93.6","b"
"2005","Estonia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.6",""
"2005","Ireland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","72.8",""
"2005","Greece","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","69.2",""
"2005","Spain","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","74.4","bu"
"2005","France","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","69.9",""
"2005","Croatia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","72.0",""
"2005","Italy","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.5",""
"2005","Cyprus","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","74.3",""
"2005","Latvia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.9",""
"2005","Lithuania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","82.9",""
"2005","Luxembourg","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","91.1",""
"2005","Hungary","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.7",""
"2005","Malta","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","49.6","b"
"2005","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","78.7",""
