"TIME","GEO","UNIT","SEX","AGE","Value","Flag and Footnotes"
"2008","European Union (28 countries)","Percentage","Total","From 15 to 24 years","9.4",""
"2008","European Union (28 countries)","Percentage","Males","From 15 to 24 years","9.0",""
"2008","European Union (28 countries)","Percentage","Females","From 15 to 24 years","9.8",""
"2008","European Union (27 countries)","Percentage","Total","From 15 to 24 years","9.5",""
"2008","European Union (27 countries)","Percentage","Males","From 15 to 24 years","9.1",""
"2008","European Union (27 countries)","Percentage","Females","From 15 to 24 years","9.9",""
"2008","Euro area (19 countries)","Percentage","Total","From 15 to 24 years","7.2",""
"2008","Euro area (19 countries)","Percentage","Males","From 15 to 24 years","6.8",""
"2008","Euro area (19 countries)","Percentage","Females","From 15 to 24 years","7.7",""
"2008","Euro area (18 countries)","Percentage","Total","From 15 to 24 years","7.3",""
"2008","Euro area (18 countries)","Percentage","Males","From 15 to 24 years","6.9",""
"2008","Euro area (18 countries)","Percentage","Females","From 15 to 24 years","7.8",""
"2008","Belgium","Percentage","Total","From 15 to 24 years","3.1",""
"2008","Belgium","Percentage","Males","From 15 to 24 years","2.7",""
"2008","Belgium","Percentage","Females","From 15 to 24 years","3.6",""
"2008","Bulgaria","Percentage","Total","From 15 to 24 years","1.4",""
"2008","Bulgaria","Percentage","Males","From 15 to 24 years","1.1","u"
"2008","Bulgaria","Percentage","Females","From 15 to 24 years","1.6",""
"2008","Czech Republic","Percentage","Total","From 15 to 24 years","6.6",""
"2008","Czech Republic","Percentage","Males","From 15 to 24 years","6.1",""
"2008","Czech Republic","Percentage","Females","From 15 to 24 years","7.1",""
"2008","Denmark","Percentage","Total","From 15 to 24 years","31.9",""
"2008","Denmark","Percentage","Males","From 15 to 24 years","32.1",""
"2008","Denmark","Percentage","Females","From 15 to 24 years","31.8",""
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Total","From 15 to 24 years","3.5","b"
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Males","From 15 to 24 years","3.0","b"
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Females","From 15 to 24 years","3.9","b"
"2008","Estonia","Percentage","Total","From 15 to 24 years","5.0",""
"2008","Estonia","Percentage","Males","From 15 to 24 years","4.2",""
"2008","Estonia","Percentage","Females","From 15 to 24 years","5.8",""
