"TIME","GEO","SEX","AGE","UNIT","Value"
"2008","Belgium","Total","From 15 to 29 years","Percentage","45.7"
"2008","Bulgaria","Total","From 15 to 29 years","Percentage","40.8"
"2008","Czech Republic","Total","From 15 to 29 years","Percentage","45.8"
"2008","Denmark","Total","From 15 to 29 years","Percentage","72.0"
"2008","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Percentage","56.3"
"2008","Estonia","Total","From 15 to 29 years","Percentage","50.1"
"2008","Ireland","Total","From 15 to 29 years","Percentage","58.9"
"2008","Greece","Total","From 15 to 29 years","Percentage","42.9"
"2008","Spain","Total","From 15 to 29 years","Percentage","52.3"
"2008","France","Total","From 15 to 29 years","Percentage","46.8"
"2008","Croatia","Total","From 15 to 29 years","Percentage","45.4"
"2008","Italy","Total","From 15 to 29 years","Percentage","39.1"
"2008","Cyprus","Total","From 15 to 29 years","Percentage","56.1"
"2008","Latvia","Total","From 15 to 29 years","Percentage","50.2"
"2008","Lithuania","Total","From 15 to 29 years","Percentage","41.1"
"2008","Luxembourg","Total","From 15 to 29 years","Percentage","42.7"
"2008","Hungary","Total","From 15 to 29 years","Percentage","38.9"
"2008","Malta","Total","From 15 to 29 years","Percentage","58.4"
"2008","Netherlands","Total","From 15 to 29 years","Percentage","75.6"
"2008","Austria","Total","From 15 to 29 years","Percentage","63.4"
"2008","Poland","Total","From 15 to 29 years","Percentage","45.0"
"2008","Portugal","Total","From 15 to 29 years","Percentage","50.9"
"2008","Romania","Total","From 15 to 29 years","Percentage","40.4"
"2008","Slovenia","Total","From 15 to 29 years","Percentage","54.8"
"2008","Slovakia","Total","From 15 to 29 years","Percentage","43.2"
"2008","Finland","Total","From 15 to 29 years","Percentage","56.6"
"2008","Sweden","Total","From 15 to 29 years","Percentage","54.3"
"2008","United Kingdom","Total","From 15 to 29 years","Percentage","61.7"
"2008","Iceland","Total","From 15 to 29 years","Percentage","75.4"
"2008","Norway","Total","From 15 to 29 years","Percentage","66.1"
"2008","Switzerland","Total","From 15 to 29 years","Percentage","70.9"
"2008","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 29 years","Percentage","25.8"
"2009","Belgium","Total","From 15 to 29 years","Percentage","43.9"
"2009","Bulgaria","Total","From 15 to 29 years","Percentage","38.7"
"2009","Czech Republic","Total","From 15 to 29 years","Percentage","43.7"
"2009","Denmark","Total","From 15 to 29 years","Percentage","67.5"
"2009","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Percentage","56.0"
"2009","Estonia","Total","From 15 to 29 years","Percentage","42.6"
"2009","Ireland","Total","From 15 to 29 years","Percentage","50.3"
"2009","Greece","Total","From 15 to 29 years","Percentage","42.3"
"2009","Spain","Total","From 15 to 29 years","Percentage","44.4"
"2009","France","Total","From 15 to 29 years","Percentage","45.8"
"2009","Croatia","Total","From 15 to 29 years","Percentage","43.7"
"2009","Italy","Total","From 15 to 29 years","Percentage","36.0"
"2009","Cyprus","Total","From 15 to 29 years","Percentage","52.8"
"2009","Latvia","Total","From 15 to 29 years","Percentage","40.6"
"2009","Lithuania","Total","From 15 to 29 years","Percentage","37.3"
"2009","Luxembourg","Total","From 15 to 29 years","Percentage","46.3"
"2009","Hungary","Total","From 15 to 29 years","Percentage","35.9"
"2009","Malta","Total","From 15 to 29 years","Percentage","56.4"
"2009","Netherlands","Total","From 15 to 29 years","Percentage","74.3"
"2009","Austria","Total","From 15 to 29 years","Percentage","62.4"
"2009","Poland","Total","From 15 to 29 years","Percentage","44.7"
"2009","Portugal","Total","From 15 to 29 years","Percentage","48.3"
"2009","Romania","Total","From 15 to 29 years","Percentage","39.5"
"2009","Slovenia","Total","From 15 to 29 years","Percentage","51.1"
"2009","Slovakia","Total","From 15 to 29 years","Percentage","39.9"
"2009","Finland","Total","From 15 to 29 years","Percentage","52.1"
"2009","Sweden","Total","From 15 to 29 years","Percentage","50.5"
"2009","United Kingdom","Total","From 15 to 29 years","Percentage","58.3"
"2009","Iceland","Total","From 15 to 29 years","Percentage","65.5"
"2009","Norway","Total","From 15 to 29 years","Percentage","62.5"
"2009","Switzerland","Total","From 15 to 29 years","Percentage","69.3"
"2009","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 29 years","Percentage","26.6"
"2010","Belgium","Total","From 15 to 29 years","Percentage","43.2"
"2010","Bulgaria","Total","From 15 to 29 years","Percentage","39.4"
"2010","Czech Republic","Total","From 15 to 29 years","Percentage","42.6"
"2010","Denmark","Total","From 15 to 29 years","Percentage","63.1"
"2010","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Percentage","56.6"
"2010","Estonia","Total","From 15 to 29 years","Percentage","40.9"
"2010","Ireland","Total","From 15 to 29 years","Percentage","45.9"
"2010","Greece","Total","From 15 to 29 years","Percentage","39.0"
"2010","Spain","Total","From 15 to 29 years","Percentage","41.4"
"2010","France","Total","From 15 to 29 years","Percentage","45.4"
"2010","Croatia","Total","From 15 to 29 years","Percentage","40.3"
"2010","Italy","Total","From 15 to 29 years","Percentage","34.1"
"2010","Cyprus","Total","From 15 to 29 years","Percentage","52.3"
"2010","Latvia","Total","From 15 to 29 years","Percentage","40.1"
"2010","Lithuania","Total","From 15 to 29 years","Percentage","33.6"
"2010","Luxembourg","Total","From 15 to 29 years","Percentage","43.5"
"2010","Hungary","Total","From 15 to 29 years","Percentage","35.0"
"2010","Malta","Total","From 15 to 29 years","Percentage","56.3"
"2010","Netherlands","Total","From 15 to 29 years","Percentage","70.2"
"2010","Austria","Total","From 15 to 29 years","Percentage","62.3"
"2010","Poland","Total","From 15 to 29 years","Percentage","43.9"
"2010","Portugal","Total","From 15 to 29 years","Percentage","45.1"
"2010","Romania","Total","From 15 to 29 years","Percentage","40.6"
"2010","Slovenia","Total","From 15 to 29 years","Percentage","49.8"
"2010","Slovakia","Total","From 15 to 29 years","Percentage","37.9"
"2010","Finland","Total","From 15 to 29 years","Percentage","51.6"
"2010","Sweden","Total","From 15 to 29 years","Percentage","50.6"
"2010","United Kingdom","Total","From 15 to 29 years","Percentage","57.6"
"2010","Iceland","Total","From 15 to 29 years","Percentage","65.5"
"2010","Norway","Total","From 15 to 29 years","Percentage","60.6"
"2010","Switzerland","Total","From 15 to 29 years","Percentage","69.8"
