"TIME","GEO","SEX","AGE","UNIT","REASON","Value","Flag and Footnotes"
"2007","European Union (28 countries)","Total","From 15 to 19 years","Percentage","Could not find a full-time job","12.0",""
"2007","European Union (28 countries)","Total","From 15 to 19 years","Percentage","Own illness or disability",":","u"
"2007","European Union (28 countries)","Total","From 15 to 19 years","Percentage","Other family or personal responsabilities","1.5",""
"2007","European Union (28 countries)","Total","From 15 to 19 years","Percentage","Looking after children or incapacitated adults","0.5","u"
"2007","European Union (28 countries)","Total","From 15 to 19 years","Percentage","In education or training","78.3",""
"2007","European Union (28 countries)","Total","From 15 to 19 years","Percentage","Other","7.5",""
"2007","European Union (28 countries)","Total","From 15 to 24 years","Percentage","Could not find a full-time job","23.3",""
"2007","European Union (28 countries)","Total","From 15 to 24 years","Percentage","Own illness or disability","0.7",""
"2007","European Union (28 countries)","Total","From 15 to 24 years","Percentage","Other family or personal responsabilities","2.4",""
"2007","European Union (28 countries)","Total","From 15 to 24 years","Percentage","Looking after children or incapacitated adults","2.9",""
"2007","European Union (28 countries)","Total","From 15 to 24 years","Percentage","In education or training","59.0",""
"2007","European Union (28 countries)","Total","From 15 to 24 years","Percentage","Other","11.7",""
"2007","European Union (28 countries)","Total","From 15 to 29 years","Percentage","Could not find a full-time job","26.9",""
"2007","European Union (28 countries)","Total","From 15 to 29 years","Percentage","Own illness or disability","1.2",""
"2007","European Union (28 countries)","Total","From 15 to 29 years","Percentage","Other family or personal responsabilities","4.1",""
"2007","European Union (28 countries)","Total","From 15 to 29 years","Percentage","Looking after children or incapacitated adults","9.7",""
"2007","European Union (28 countries)","Total","From 15 to 29 years","Percentage","In education or training","44.9",""
"2007","European Union (28 countries)","Total","From 15 to 29 years","Percentage","Other","13.2",""
"2007","European Union (28 countries)","Total","From 20 to 24 years","Percentage","Could not find a full-time job","31.3",""
"2007","European Union (28 countries)","Total","From 20 to 24 years","Percentage","Own illness or disability","1.1",""
"2007","European Union (28 countries)","Total","From 20 to 24 years","Percentage","Other family or personal responsabilities","3.0",""
"2007","European Union (28 countries)","Total","From 20 to 24 years","Percentage","Looking after children or incapacitated adults","4.6",""
"2007","European Union (28 countries)","Total","From 20 to 24 years","Percentage","In education or training","45.3",""
"2007","European Union (28 countries)","Total","From 20 to 24 years","Percentage","Other","14.7",""
"2007","European Union (28 countries)","Total","From 20 to 29 years","Percentage","Could not find a full-time job","32.3",""
"2007","European Union (28 countries)","Total","From 20 to 29 years","Percentage","Own illness or disability","1.5",""
"2007","European Union (28 countries)","Total","From 20 to 29 years","Percentage","Other family or personal responsabilities","5.1",""
"2007","European Union (28 countries)","Total","From 20 to 29 years","Percentage","Looking after children or incapacitated adults","13.0",""
"2007","European Union (28 countries)","Total","From 20 to 29 years","Percentage","In education or training","32.8",""
"2007","European Union (28 countries)","Total","From 20 to 29 years","Percentage","Other","15.2",""
"2007","European Union (28 countries)","Total","From 25 to 29 years","Percentage","Could not find a full-time job","33.4",""
"2007","European Union (28 countries)","Total","From 25 to 29 years","Percentage","Own illness or disability","2.0",""
"2007","European Union (28 countries)","Total","From 25 to 29 years","Percentage","Other family or personal responsabilities","7.2",""
"2007","European Union (28 countries)","Total","From 25 to 29 years","Percentage","Looking after children or incapacitated adults","21.7",""
"2007","European Union (28 countries)","Total","From 25 to 29 years","Percentage","In education or training","20.0",""
"2007","European Union (28 countries)","Total","From 25 to 29 years","Percentage","Other","15.7",""
"2007","European Union (28 countries)","Males","From 15 to 19 years","Percentage","Could not find a full-time job","11.0",""
"2007","European Union (28 countries)","Males","From 15 to 19 years","Percentage","Own illness or disability",":","u"
"2007","European Union (28 countries)","Males","From 15 to 19 years","Percentage","Other family or personal responsabilities","1.5","u"
"2007","European Union (28 countries)","Males","From 15 to 19 years","Percentage","Looking after children or incapacitated adults",":","u"
"2007","European Union (28 countries)","Males","From 15 to 19 years","Percentage","In education or training","79.6",""
